Gene,baseMean,log2_FoldChange,pvalue
AL355877.1,4.49,-0.59,0.36304723
CCNL2,9.89,-0.14,0.415079079
PRSS3,4.89,0.49,0.495197481
CEP41,11.12,-0.09,0.418049576
PPRC1,9.89,0.1,0.42820852
LAT2,4.06,-0.73,0.346686491
ANXA2R,6.04,0.35,0.461084333
AL365181.2,4.52,-0.89,0.343038225
NDRG2,12.61,0.05,0.424649906
UBE3D,8.57,0.1,0.430009667
FANCG,8.48,0.27,0.441787575
ADAT2,7.08,-0.1,0.415245677
KCND3,8.39,0.17,0.434846325
TRIM7,9.64,0.2,0.435563716
ARHGEF40,9,0.12,0.430557717
FNDC4,4.92,0.38,0.474149681
SLC16A1-AS1,5.37,0.5,0.487222779
ZNF815P,5.52,0.51,0.487480915
SNORA7B,8.7,0.23,0.439240388
AP001528.1,4.4,0.86,0.596556384
SERPINB11,6.57,-0.27,0.400734278
LRGUK,10.29,-0.09,0.417689595
MRPL40,10.22,0.11,0.428616328
SAP130,10.34,-0.11,0.416270836
CELF2,7.41,-0.23,0.406280166
RPRD1B,10.7,-0.08,0.418750156
SMARCD3,8.24,0.13,0.432546337
RAB3D,11.91,0.09,0.427081345
AL353588.1,4.57,0.52,0.506597908
FAM160A1-DT,7,-0.17,0.409793251
STRADA,5.39,-0.55,0.373960206
FOXE1,9.4,0.13,0.431289353
AC062017.1,5.64,0.22,0.446294581
PRR5L,9.64,-0.11,0.416212696
HIST1H3H,10.24,0.14,0.431153647
C19orf57,6.41,0.26,0.44810514
AP002008.2,2.84,-0.64,0.333897947
UMODL1-AS1,10.03,-0.15,0.41464158
MAL,3.24,-0.68,0.338832823
STIL,11.42,-0.09,0.418168585
LINC00886,8.21,-0.21,0.408159103
AFAP1L1,10.16,0.06,0.426484679
HNRNPLP2,3.77,0.43,0.505624524
ZNF773,7.94,-0.22,0.407048512
SEC11A,11.25,0.09,0.427345663
CLN6,8.7,0.18,0.435107624
PRICKLE2,10.27,-0.1,0.41750185
PPP2CB,12.07,-0.05,0.419961159
SP6,5.97,0.13,0.436483353
CSF2,6.28,-0.7,0.370367988
KRT24,4.81,1.13,0.654890549
AC018529.3,2.03,-1.03,0.284804889
GPR176,5.58,-0.7,0.365731059
DIAPH3,8.51,-0.13,0.414097924
ABLIM2,7.59,-0.13,0.413583094
ATP5PD,11.96,0.09,0.427058754
CXCL8,11.84,-0.23,0.412171047
AC005699.1,4.41,-0.49,0.370451901
AP3S2,9.4,-0.1,0.416237779
HIST1H2AE,11.13,0.14,0.43009876
HAS2,7.09,-0.28,0.401540606
RAPGEF2,11.12,-0.07,0.418718315
MID1,11.16,-0.05,0.419743909
AFDN,13.98,-0.05,0.42087313
PTPRA,12,0.04,0.424910716
INSIG1,11.84,0.07,0.426432408
ENPEP,7.58,-0.24,0.405001033
KCNK3,3.75,-0.87,0.333134633
ZNF449,7.49,-0.22,0.407121157
AC011472.2,4.29,-0.85,0.34258723
RPS20,14.1,0.07,0.425269364
TSTD3,5.58,-0.25,0.399541439
MKI67,12.54,0.09,0.427164455
ANKRD13A,11.52,-0.07,0.41918228
ATP5MG,12.2,0.06,0.425517339
ARPC5,11.94,0.04,0.424596961
SLC2A8,7.9,0.24,0.440785414
ARNT2,9.39,0.22,0.436837612
NPIPA5,5.68,-0.42,0.386148655
AC104506.1,4.44,-0.81,0.347239678
MARCH10,10.51,-0.07,0.418493206
SCD,14.24,0.09,0.426346777
PTGR1,11.62,0.06,0.425326529
TMEM43,10.47,0.1,0.427894765
KHK,6.14,0.35,0.459742553
AKR1B10,8.2,0.3,0.445414844
AC026250.1,4.92,-0.62,0.365578635
AC073195.1,3.03,-1.24,0.298094694
PPM1M,6.8,-0.13,0.412569066
TANC2,11.68,-0.06,0.419388957
DDIAS,8.17,-0.19,0.40981763
ZNF572,7.74,-0.22,0.407130773
SLC30A8,4.79,0.43,0.485389375
GLUL,15.95,0.07,0.424962815
ZEB1,4.78,0.55,0.506928948
ARL6IP6,9.02,0.09,0.428524179
ANKRD20A21P,5.18,-0.37,0.386017465
FAM117B,10.18,-0.08,0.418183126
FAM111B,9.08,0.17,0.434316134
DNAJC6,8.36,-0.09,0.416562315
AC107021.2,3.76,-0.3,0.382222226
TPBG,10.25,0.06,0.426450718
GALNT5,11.12,0.1,0.428291076
OCA2,6.32,0.3,0.453569619
NT5DC2,9.46,0.15,0.431684848
ANP32B,12.03,0.05,0.424747217
HYDIN2,9.05,-0.18,0.412014218
CCL20,9.53,-0.45,0.397764578
POLE2,6.05,0.21,0.443493696
AC009506.1,7.6,-0.14,0.412879365
PPIA,14.03,0.1,0.426545218
COMTD1,7.29,0.27,0.445155757
HIST1H1C,12.68,0.09,0.42680491
CRNDE,10.57,-0.12,0.415887757
SAP30L-AS1,3.88,0.7,0.580376287
HSPA9,13.44,0.05,0.425101952
AL603750.1,4.67,-0.25,0.395533783
AC008464.1,5.08,-0.47,0.378363622
SRSF5,12.49,0.03,0.424352642
SLC25A5,13.23,0.08,0.426183624
ZNF582,6.47,-0.27,0.400454502
NLGN4Y,9.59,-0.1,0.416753071
HIST1H2AB,8.96,0.17,0.433589024
FSCN2,4.19,-0.56,0.361595539
TRMT12,8.9,-0.11,0.41568334
FUBP3,11.52,0.07,0.42620265
USP46-AS1,7.02,-0.17,0.40931085
HIST2H2AC,10.68,0.15,0.430987936
GVQW3,6.75,0.19,0.439877838
RHEBL1,6.82,-0.33,0.397703405
OASL,4.83,0.31,0.465097312
UHRF2,9.38,0.07,0.427444551
RBFA,8.16,0.1,0.429416564
TMEM170B,6.75,-0.36,0.394375033
FOXP1-IT1,2.02,-1.84,0.252418408
MIR1244-3,4.45,0.46,0.498401572
LINC02175,5.39,-0.2,0.402725985
HNRNPM,13.4,0.06,0.424967926
MFSD11,9.66,0.07,0.426897197
HIST1H1B,12.05,0.14,0.429516612
NUDT8,7.57,0.21,0.440131506
TOE1,8.09,0.17,0.435822881
ADA2,12.35,-0.06,0.419871896
ZNF799,7.23,-0.19,0.408251915
TTC23L,8.38,-0.1,0.415475999
WDR82,12.13,0.05,0.425050325
OXTR,9.37,-0.17,0.412932532
HIST1H4C,11.31,0.14,0.429626837
SOD1,13.05,0.06,0.425030591
ETAA1,9.43,-0.07,0.418424757
HIST1H2BK,11.47,0.08,0.426733628
AC092718.3,7.65,-0.19,0.409460564
AL731569.1,2.61,-0.57,0.33651319
C1orf115,8.92,0.12,0.43018524
MAPKAPK5,10.56,0.05,0.425042045
ZFYVE28,8.18,0.11,0.430633012
ULK2,10.94,-0.07,0.419000755
GART,11.37,0.06,0.426072095
ARL9,5.93,0.26,0.451090334
HIST1H2BE,10.38,0.1,0.428321284
RBM3,12.05,0.07,0.426365838
RDH11,10.73,0.09,0.427210941
ZSCAN29,10.13,0.04,0.424564156
RGS20,4.27,0.65,0.544282534
