symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
C1QTNF3.AMACR,5,0.829,3.2,0.3,0.1,0.05
HERC2P3,5,3.653,3.2,1.1,0.59,0.3
ZNF781,7,1.562,3.2,0.5,0.21,0.1
ASDURF,6,-1.91,3.1,-0.6,0.26,0.13
CFAP95,6,-2.066,3.1,-0.7,0.29,0.14
F8A2,38,-1.683,3.1,-0.5,0.23,0.11
H2AC18,12,-0.88,3.1,-0.3,0.11,0.05
INTS4P1,5,-1.172,3.1,-0.4,0.15,0.07
NPIPA8,19,-1.841,3.1,-0.6,0.26,0.13
PMS2CL,8,-3.12,3.1,-1,0.49,0.25
SMIM10L3,35,2.172,3.1,0.7,0.31,0.15
UTP14C,24,-1.488,3.1,-0.5,0.2,0.09
ZNF815P,5,-0.682,3.1,-0.2,0.08,0.04
PWAR5,6,5.47,3,1.8,1.19,0.61
RRP7BP,10,0.92,2.9,0.3,0.12,0.06
SBDSP1,13,0.842,2.9,0.3,0.11,0.05
X5_8S_rRNA,120,-1.782,2.9,-0.6,0.27,0.13
NPEPPSP1.1,9,-1.727,2.8,-0.6,0.27,0.13
GSTM1,414,1.551,2.7,0.6,0.25,0.12
HERC3.1,39,0.596,2.7,0.2,0.08,0.04
ZNF658B,7,0.658,2.7,0.2,0.09,0.04
FAM184B,13,-3.711,2.6,-1.4,0.82,0.42
FOXH1,6,-4.478,2.6,-1.7,1.06,0.54
LINC03105,21,1.532,2.5,0.6,0.27,0.13
SMG1P1,13,6.52,2.5,2.6,2.09,1.02
IGHV1OR15.1,38,-0.367,2.3,-0.2,0.06,0.03
IGHV5.10.1,31,0.529,2.3,0.2,0.09,0.04
RPS14P8,9,-6.426,2.3,-2.7,2.22,1.08
RPS26P19,7,-0.871,2.3,-0.4,0.16,0.07
SMG1P3,33,-0.438,2.3,-0.2,0.07,0.03
TXLNGY.1,487,0.713,2.3,0.3,0.12,0.06
ZFP57,29,0.861,2.3,0.4,0.15,0.07
ZNF204P,12,-0.68,2.3,-0.3,0.11,0.05
CELF6.AS1,22,-3.325,2.2,-1.5,0.91,0.47
EIF1AY,656,0.842,2.2,0.4,0.16,0.07
GTPBP6.1,248,-0.037,2.2,0,0.01,0
HNRNPA1P10,8,0.802,2.2,0.4,0.14,0.07
IGKV1D.17,12,6.398,2.2,2.9,2.48,1.2
UTY,240,0.576,2.2,0.3,0.1,0.05
ZFY,252,0.665,2.2,0.3,0.12,0.06
IL3RA.1,72,-0.869,2.1,-0.4,0.17,0.08
KDM5D,395,-0.392,2.1,-0.2,0.07,0.03
RNF150,11,6.311,2.1,2.9,2.49,1.2
SMG1P5,16,0.371,2.1,0.2,0.06,0.03
USP9Y,448,0.868,2.1,0.4,0.17,0.08
XIST,1306,-1.875,2.1,-0.9,0.44,0.22
CENPBD2P,19,-1.828,2,-0.9,0.43,0.22
GTPBP6,250,-0.053,2,0,0.01,0
HMGB1P3,5,0.89,2,0.4,0.18,0.09
INO80B.WBP1,67,1.596,2,0.8,0.38,0.19
NEBL,62,7.315,2,3.6,3.52,1.67
NR4A1AS,13,-1.169,2,-0.6,0.25,0.12
NSFP1,15,-1.436,2,-0.7,0.33,0.17
PMS2P1,15,-1.358,2,-0.7,0.31,0.15
SPDYE2,11,-1.659,2,-0.8,0.4,0.2
BCORP1.1,34,0.556,1.9,0.3,0.11,0.05
BPTFP1,12,-2.162,1.9,-1.1,0.59,0.3
GTF2H2B,56,0.961,1.9,0.5,0.21,0.1
IGKV1D.13,49,8.393,1.9,4.4,4.98,2.47
KYAT1.1,13,-2.062,1.9,-1.1,0.54,0.28
PLCXD1,32,0.926,1.9,0.5,0.21,0.1
SLX1B.SULT1A4,94,-3.578,1.9,-1.9,1.24,0.63
TMSB4Y,46,-0.862,1.9,-0.4,0.18,0.09
CCDC144A,45,-1.891,1.8,-1.1,0.54,0.27
CHURC1.FNTB,22,-1.337,1.8,-0.7,0.34,0.17
DDX3Y,1071,0.252,1.8,0.1,0.05,0.02
GTF2IP1,127,0.344,1.8,0.2,0.07,0.03
HLA.DRB6,34,0.61,1.8,0.3,0.13,0.06
LINC00278,31,-0.632,1.8,-0.3,0.14,0.06
LINC02315,6,4.029,1.8,2.3,1.64,0.82
PDLIM7.AS1,6,-3.395,1.8,-1.9,1.26,0.64
PRKY.1,225,0.01,1.8,0,0,0
RPS4Y1,5122,0.772,1.8,0.4,0.17,0.08
AHSP,5,1.451,1.7,0.9,0.42,0.21
AS3MT,7,-1.668,1.7,-1,0.5,0.25
FAM83F,5,2.896,1.7,1.7,1.06,0.54
FAM95B1.1,8,0.431,1.7,0.3,0.1,0.05
H4C11,17,1.443,1.7,0.8,0.4,0.2
IGFBP5,5,4.343,1.7,2.6,2.03,1.01
IGHV7.4.1,35,6.02,1.7,3.6,3.52,1.67
NPIPA3,5,-1.507,1.7,-0.9,0.43,0.22
PRAL,34,-2.936,1.7,-1.8,1.1,0.56
RAB3C,6,-2.652,1.7,-1.6,0.95,0.48
AGGF1P10,6,-3.034,1.6,-1.9,1.23,0.62
AKAP17A,310,-1.23,1.6,-0.7,0.34,0.17
CENPBD1P,46,-0.744,1.6,-0.5,0.19,0.09
COL7A1,6,-1.318,1.6,-0.8,0.39,0.2
COMMD3.BMI1,7,-0.547,1.6,-0.3,0.13,0.06
CSF2RA.1,345,-0.842,1.6,-0.5,0.23,0.11
CXorf65,6,1.212,1.6,0.8,0.36,0.18
DCANP1,9,-0.934,1.6,-0.6,0.26,0.13
DKK2,5,3.678,1.6,2.2,1.61,0.81
FBXW10B,6,-1.438,1.6,-0.9,0.43,0.22
