symbol,baseMean,log2FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
HBB,18573,6.013,1,5.8,8.05,4.66
SNHG31,76,5.236,0.9,5.6,7.55,4.32
AHSP,26,5.141,1.2,4.3,4.68,2.63
MYL4,9,4.893,1.3,3.9,3.99,2.25
ALAS2,74,4.442,1,4.2,4.64,2.61
IGHV7.4.1,15,4.361,1.4,3.2,2.84,1.55
HBA1,3007,4.3,1,4.5,5.16,2.88
HMGB1P5,38,3.883,2.9,1.3,0.74,0.34
HBA2,1890,3.848,0.9,4.4,4.99,2.8
EPB42,7,3.308,1.8,1.8,1.15,0.56
LINC00484,10,3.231,1,3.2,2.79,1.51
TRDV3,12,3.149,0.8,3.7,3.69,2.08
MUC16,7,3.046,1.4,2.2,1.6,0.8
LTF,22,2.927,0.8,3.5,3.41,1.9
IGKV1D.13,35,2.925,1.3,2.3,1.66,0.83
HBD,17,2.8,0.8,3.6,3.46,1.94
IFI27,43,2.723,0.7,3.7,3.74,2.11
ZNF475,20,2.669,0.9,2.8,2.33,1.24
IGLV1.36,33,2.624,0.6,4.2,4.49,2.54
KLRC2,97,2.577,0.6,4.6,5.39,3
IRS4,9,2.575,2,1.3,0.72,0.33
DTNB.AS1,13,2.565,0.5,5.2,6.7,3.81
TMEM178B,9,2.535,0.8,3.3,2.95,1.62
SLC4A1,61,2.512,1.1,2.3,1.65,0.82
IGHG1,1866,2.508,0.6,4,4.14,2.32
GLDC,45,2.503,0.6,3.9,3.97,2.25
IL6.AS1,13,2.496,0.8,3.1,2.68,1.44
CRNDE,11,2.471,0.7,3.4,3.16,1.75
IGHA2,1413,2.464,0.8,2.9,2.44,1.3
HLA.DQA2,690,2.41,1.3,1.9,1.22,0.59
IGKV2.29,10,2.379,1,2.5,1.87,0.95
STAG3,147,2.369,0.7,3.6,3.57,2.01
IGLV3.25,142,2.366,0.5,4.7,5.58,3.09
IGLV3.19,201,2.309,0.4,5.2,6.68,3.81
SYN3,7,2.28,0.7,3,2.63,1.41
RPL10P9,291,2.235,0.5,4.4,5,2.8
MYOM2,441,2.223,0.8,2.7,2.17,1.13
JCHAIN,12028,2.214,0.5,4.3,4.69,2.63
PLAAT2,12,2.209,0.6,3.7,3.65,2.06
IGLV3.21,256,2.185,0.5,4.1,4.32,2.42
IGKV2D.29,38,2.181,0.8,2.8,2.33,1.23
GALNTL6,6,2.144,0.9,2.4,1.78,0.9
SEMA3D,7,2.139,0.6,3.3,3.04,1.67
TNFRSF17,163,2.097,0.5,4.3,4.83,2.71
F8A3,140,2.083,1.6,1.3,0.74,0.34
KRT1,107,2.075,1,2,1.34,0.66
IGKV1.39,126,2.059,0.8,2.6,2.09,1.08
GBP1P1.1,65,2.025,0.7,2.8,2.28,1.19
LINC03105,14,1.994,2.9,0.7,0.31,0.13
HLA.DRB6.1,263,1.972,1.2,1.7,1.01,0.48
ANXA3,13,1.963,0.6,3,2.63,1.41
SELENBP1,13,1.954,0.8,2.5,1.89,0.96
C15orf48,7,1.951,0.7,2.6,2.09,1.08
GPR15,777,1.943,0.7,3,2.53,1.35
IGHA1,5210,1.941,0.8,2.4,1.79,0.91
DISP2,13,1.925,0.8,2.3,1.71,0.86
IGLV3.16,11,1.92,0.6,3.2,2.92,1.6
PBK,8,1.917,0.6,3.4,3.22,1.78
SOBP,23,1.913,0.6,3.2,2.86,1.56
TPSAB1,7,1.91,1,1.9,1.27,0.62
IGLL5,541,1.905,0.4,4.5,5.24,2.9
UGT2B17,61,1.885,1.1,1.8,1.1,0.53
IGLC1,869,1.88,0.4,4.4,4.9,2.75
IGHG3,335,1.879,0.5,4.2,4.52,2.55
IGLV1.47,233,1.873,0.5,3.7,3.67,2.06
SORD2P.1,20,1.867,0.8,2.4,1.74,0.88
CSTF3.DT,11,1.859,0.6,2.9,2.44,1.29
IGKV3D.11,11,1.856,0.6,3.1,2.64,1.42
OIP5,8,1.841,0.6,3,2.63,1.41
MMP1,10,1.834,0.9,2.1,1.47,0.73
IGLC2,1976,1.829,0.4,4.2,4.6,2.59
IGHE,29,1.825,0.8,2.3,1.64,0.81
EGR2,369,1.822,0.7,2.4,1.84,0.93
IGKC,11268,1.82,0.4,4.2,4.49,2.54
IGKV3D.15,50,1.815,0.7,2.6,2.06,1.07
IGLV6.57,45,1.798,0.6,3.2,2.85,1.56
IGLV2.23,148,1.769,0.4,4.4,4.97,2.8
SCHIP1,13,1.769,0.6,2.8,2.3,1.21
IGKV6.21,24,1.765,0.6,2.8,2.26,1.18
IGHV2.5,61,1.761,0.4,4.3,4.85,2.72
NETO1,54,1.756,0.7,2.5,1.96,1.01
STEAP1B,29,1.754,0.5,3.5,3.39,1.89
IGKV3D.20,31,1.752,0.6,3.1,2.7,1.45
C1QC,33,1.748,0.7,2.5,1.87,0.95
IGLV2.11,111,1.732,0.6,3.1,2.72,1.47
SSPN,60,1.728,0.5,3.2,2.84,1.55
LRRC32,8,1.722,0.6,3,2.62,1.41
IL3RA,141,1.719,1.6,1,0.53,0.24
EDN3,10,1.706,0.9,1.9,1.19,0.58
KCNG1,83,1.698,0.6,2.8,2.27,1.19
GPRC5D,14,1.696,0.8,2.2,1.55,0.77
CD8B2,17,1.681,0.6,2.7,2.1,1.09
ATP5MF.PTCD1,20,1.675,0.8,2.1,1.44,0.71
PCLAF,61,1.674,0.4,4.3,4.77,2.67
BIRC5,57,1.671,0.4,4.2,4.61,2.59
C1S,7,1.67,0.8,2.1,1.48,0.73
IGKV1.6,31,1.667,0.4,3.8,3.93,2.22
IGLV3.27,25,1.644,0.6,2.9,2.47,1.31
