symbol,baseMean,log2FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
HLA.L,4,5.746,3,1.9,1.27,0.17
RNU1.27P,3,5.142,3,1.7,1.08,0.14
SOX6,3,5.046,3,1.7,1.05,0.13
SMG1P4,4,4.838,2.6,1.9,1.2,0.15
DEFA4,3,4.656,1.5,3.2,2.83,0.6
HBA2,1841,4.47,0.9,5,6.19,2.74
CEACAM8,3,4.36,1.5,3,2.58,0.52
COL17A1,3,4.264,1.3,3.2,2.87,0.6
TTLL10,3,4.232,1.4,3,2.6,0.53
ACTA1,6,4.204,1.2,3.5,3.26,0.74
GYPA,6,3.928,2,1.9,1.28,0.17
CASQ1,3,3.839,1.1,3.6,3.45,0.83
SLC4A1,56,3.659,1.2,3,2.59,0.53
ALAS2,77,3.628,1.3,2.9,2.37,0.44
ARMCX5.GPRASP2,3,3.423,2.9,1.2,0.63,0.07
SYCP2L,8,3.381,1.2,2.9,2.37,0.44
HBM,5,3.348,1.3,2.6,2.06,0.35
MUC16,7,3.183,1.3,2.5,1.94,0.31
OLFM4,3,3.119,1.5,2.1,1.48,0.21
FAM238A.1,4,3.105,1,3,2.62,0.55
HMCN1,5,3.08,1.1,2.7,2.22,0.38
PTPRD,3,2.992,1.3,2.4,1.75,0.27
KIAA0087,3,2.885,1.1,2.7,2.18,0.38
HBB,9056,2.664,1.2,2.2,1.56,0.23
ROPN1L.AS1,3,2.62,0.9,2.8,2.26,0.4
MAPK8IP1P2,4,2.558,1.8,1.4,0.78,0.09
PKD1L1,3,2.491,1.1,2.3,1.71,0.26
DAZL,5,2.422,1.1,2.2,1.56,0.23
ALX3,4,2.382,1.1,2.1,1.42,0.2
SPTA1,5,2.346,0.9,2.7,2.19,0.38
RAB3C,7,2.345,1.3,1.8,1.15,0.15
LINC01811,4,2.343,0.8,2.8,2.28,0.41
FAM221B,3,2.342,1,2.4,1.78,0.28
RNF5P1,10,2.297,0.8,3.1,2.65,0.55
GNG4,3,2.295,1,2.3,1.7,0.25
PMS2P14,4,2.281,1.3,1.8,1.14,0.15
DSP,102,2.28,0.9,2.7,2.1,0.36
MYBPC2,7,2.273,0.7,3.1,2.73,0.57
RNA5.8SN2,95,2.266,2.9,0.8,0.36,0.03
LTF,24,2.263,0.8,2.7,2.12,0.37
HBA1,1599,2.238,1,2.2,1.53,0.22
CHI3L1,3,2.225,1.2,1.9,1.21,0.16
STAG3,150,2.218,0.7,3.2,2.82,0.6
RPL7AP64,3,2.209,2.9,0.8,0.36,0.03
SYN3,7,2.208,0.9,2.6,1.98,0.32
ARHGEF18.AS1,3,2.19,1,2.3,1.66,0.24
MMP1,10,2.131,1,2.1,1.45,0.2
CENPBD2P,28,2.13,1.7,1.2,0.65,0.07
C4B,24,2.12,0.8,2.6,2.05,0.35
LINC00484,11,2.118,1.1,1.9,1.22,0.16
CHST8,6,2.073,0.7,3,2.64,0.55
IFIT1B,3,2.07,1.2,1.7,1.07,0.13
RHEBP1,5,2.052,1.5,1.4,0.77,0.09
SLC5A10,16,2.046,0.6,3.2,2.8,0.6
RPL13AP20,3,2.04,1.2,1.7,1.03,0.13
CA3,4,2.029,1,2,1.34,0.18
HEXIM2.AS2,6,2.026,0.8,2.7,2.11,0.37
SLX1B.SULT1A4,53,2.023,1.4,1.5,0.83,0.1
TBC1D3,13,2.019,1,2,1.34,0.18
PACRG,4,2.016,0.8,2.6,2,0.33
COL10A1,3,2.003,1,2.1,1.43,0.2
UGT2B17,61,1.983,1,2,1.39,0.19
MIR193BHG,3,1.981,1.2,1.7,1.06,0.13
ZNF137P,7,1.968,1.8,1.1,0.54,0.06
SEMA3D,8,1.934,0.8,2.6,2,0.33
ENAH,23,1.933,0.6,3,2.59,0.53
BRME1,12,1.93,0.9,2.1,1.49,0.21
KCNG1,80,1.916,0.8,2.5,1.92,0.3
IL6.AS1,14,1.876,0.7,2.8,2.24,0.39
LINC03080,4,1.871,1.1,1.8,1.11,0.14
TCL1B,14,1.856,1,1.9,1.29,0.17
MYO16,6,1.854,0.9,2.2,1.52,0.22
CHURC1.FNTB,34,1.852,1.3,1.4,0.79,0.09
NETO1,54,1.849,0.6,2.9,2.36,0.44
C8G,4,1.848,0.7,2.5,1.87,0.29
RPL23AP7.1,324,1.848,0.4,4.5,5.08,1.82
SLC26A4,4,1.84,0.9,2.1,1.48,0.21
FAM20A,24,1.839,0.6,3.3,2.97,0.63
ATP1A4,5,1.831,1.2,1.6,0.92,0.11
CA1,14,1.83,0.7,2.7,2.17,0.38
GBP1P1.1,67,1.829,0.7,2.7,2.16,0.38
HLA.DRB6.1,269,1.819,1,1.7,1.09,0.14
RFPL4A,4,1.812,1.5,1.2,0.67,0.07
HBD,19,1.792,0.8,2.3,1.7,0.26
LPIN2.AS1,3,1.774,0.7,2.4,1.82,0.28
LRP1B,4,1.769,1.2,1.5,0.85,0.1
RRN3P3,4,1.769,1.3,1.4,0.79,0.09
OGFR.AS1,3,1.764,1,1.7,1.05,0.13
LINC02076,7,1.761,0.8,2.1,1.43,0.2
F8A2,47,1.725,2.4,0.7,0.32,0.03
SYCE2,5,1.725,0.8,2.2,1.59,0.23
LMNTD2.AS1,8,1.712,1,1.8,1.14,0.15
CSTF3.DT,11,1.711,0.6,3,2.58,0.52
EPB42,9,1.706,1.7,1,0.5,0.05
IL3RA.1,119,1.706,1.1,1.5,0.87,0.1
EPGN,3,1.689,1.1,1.5,0.87,0.1
HLA.DQA2,768,1.688,1,1.7,1.06,0.13
EOLA1.DT,6,1.68,1,1.6,1,0.12
MIR302CHG,3,1.677,1,1.6,0.99,0.12
C15orf48,7,1.676,0.7,2.3,1.64,0.24
DNAH14,4,1.676,0.9,1.8,1.16,0.15
CRNDE,12,1.673,0.8,2.2,1.51,0.21
ADAM7.AS1,7,1.67,0.5,3.2,2.83,0.6
CCDC30,36,1.656,0.6,2.8,2.3,0.42
MIR210HG,5,1.648,0.6,2.7,2.12,0.37
CCN2,9,1.646,0.6,2.6,1.99,0.33
AMT,23,1.638,0.6,2.6,2.04,0.35
LINC03007,4,1.628,0.9,1.9,1.19,0.15
AKR1C1,6,1.627,0.6,2.6,2.03,0.34
CXCL10,100,1.591,0.6,2.7,2.13,0.37
