symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZCCHC14,219,-0.77,0.11,-6.8,11.03,6.97
KLRC4,452,1.52,0.25,6,8.67,4.91
SEC11C,1104,0.87,0.15,5.9,8.46,4.88
CHD6,663,-0.78,0.13,-5.8,8.27,4.81
IGLV3.19,322,2.69,0.49,5.5,7.53,4.28
TRDV1,59,2.01,0.36,5.6,7.62,4.28
KLRC2,174,3.09,0.56,5.5,7.36,4.22
IGLL5,814,2.24,0.41,5.5,7.33,4.22
IGHV2.5,92,2.12,0.41,5.2,6.78,3.8
SNHG31,93,5.06,0.97,5.2,6.78,3.8
ACTN1,1725,-0.6,0.12,-5.2,6.72,3.78
IGLV3.25,164,2.22,0.43,5.2,6.66,3.75
NTPCR,480,0.84,0.16,5.1,6.54,3.66
EP300,1145,-0.66,0.13,-5.1,6.47,3.62
TRMT112,1691,0.47,0.09,5.1,6.41,3.58
IGHG3,446,2.01,0.4,5,6.32,3.52
SRI,1273,0.4,0.08,5,6.25,3.5
HIKESHI,597,0.45,0.09,5,6.26,3.5
LCMT1,437,0.37,0.08,5,6.21,3.47
PITPNM2,252,-0.72,0.15,-5,6.14,3.46
SUB1,5590,0.71,0.14,5,6.14,3.46
FAM162A,591,0.61,0.12,4.9,6.12,3.46
MICOS13,379,0.52,0.11,4.9,6.12,3.46
ARPC5L,797,0.47,0.09,4.9,6.09,3.45
LINC02446,1108,1.45,0.29,4.9,6.08,3.45
TNFRSF17,216,2.2,0.45,4.9,6.03,3.42
MRTFA,1097,-0.41,0.08,-4.9,5.95,3.37
MIF,1059,0.57,0.12,4.9,5.95,3.37
IGLV2.23,213,2.05,0.42,4.8,5.89,3.35
IGLC1,1306,2.21,0.46,4.8,5.89,3.35
IGHV3.30,341,1.73,0.36,4.8,5.89,3.35
EXOSC7,337,0.36,0.07,4.8,5.84,3.33
JCHAIN,17736,2.47,0.51,4.8,5.84,3.33
LONRF3,107,-0.78,0.16,-4.8,5.79,3.3
GIHCG,86,0.66,0.14,4.8,5.8,3.3
KLHL6,770,-0.36,0.08,-4.8,5.77,3.29
IQSEC1,2060,-0.42,0.09,-4.8,5.69,3.23
CAMSAP2,110,-0.84,0.18,-4.7,5.63,3.19
DAD1,1808,0.46,0.1,4.7,5.61,3.19
GEMIN7,305,0.42,0.09,4.7,5.61,3.19
USP32,988,-0.63,0.13,-4.7,5.6,3.19
IGKV1.9,167,2.46,0.52,4.7,5.63,3.19
LRRFIP1,5337,-0.37,0.08,-4.7,5.53,3.15
RHNO1,511,0.49,0.1,4.7,5.55,3.15
RRM2,327,2.26,0.48,4.7,5.53,3.15
ZNF445,358,-0.53,0.11,-4.7,5.54,3.15
MTND1P23,2725,4.88,1.05,4.7,5.51,3.14
IGHG1,2816,2.77,0.6,4.7,5.49,3.13
PHB1,1363,0.34,0.07,4.7,5.48,3.13
MZB1,347,1.87,0.4,4.6,5.45,3.11
IGKC,14167,1.87,0.4,4.6,5.44,3.11
UPF1,921,-0.27,0.06,-4.6,5.4,3.09
HBA1,2108,4.27,0.92,4.6,5.41,3.09
MRPS12,310,0.43,0.09,4.6,5.37,3.07
RLIM,680,-0.4,0.09,-4.6,5.36,3.07
RPLP1,28532,0.53,0.11,4.6,5.37,3.07
RPL8,34571,0.52,0.11,4.6,5.36,3.07
NHP2,905,0.38,0.08,4.6,5.3,3.04
IFI27,90,3.44,0.75,4.6,5.32,3.04
ARV1,347,0.49,0.11,4.6,5.3,3.04
IGLV3.21,398,2.53,0.55,4.6,5.31,3.04
CCDC57,262,0.52,0.11,4.5,5.26,3.01
DICER1,1332,-0.59,0.13,-4.5,5.24,3.01
CCNA2,102,2.01,0.44,4.5,5.25,3.01
GAB1,168,-0.87,0.19,-4.5,5.2,2.98
TECPR2,225,-0.68,0.15,-4.5,5.19,2.97
MRPL48,602,0.58,0.13,4.5,5.12,2.92
TOMM5,751,0.48,0.11,4.5,5.12,2.92
DCTPP1,503,0.62,0.14,4.5,5.12,2.92
NDUFB11,1150,0.42,0.09,4.5,5.1,2.91
PPIA,17123,0.39,0.09,4.5,5.1,2.91
ELF2,517,-0.36,0.08,-4.5,5.08,2.9
BOLA2,216,0.77,0.17,4.5,5.08,2.9
IGLC2,2611,1.96,0.44,4.5,5.07,2.9
HSPE1,1155,0.53,0.12,4.4,5,2.86
EMC4,987,0.25,0.06,4.4,4.99,2.86
RAN,5175,0.47,0.11,4.4,4.99,2.86
MANF,771,0.56,0.13,4.4,4.99,2.86
PTTG1,152,1.39,0.31,4.4,5.02,2.86
RPL27A,47762,0.63,0.14,4.4,5,2.86
PCLAF,91,2.02,0.46,4.4,5.01,2.86
LSM2,541,0.62,0.14,4.4,4.98,2.86
CCNQ,342,0.49,0.11,4.4,4.98,2.86
IGKV3.15,517,1.63,0.37,4.4,4.98,2.86
EMG1,812,0.56,0.13,4.4,4.97,2.86
TYMS,161,2.15,0.49,4.4,4.97,2.86
BIRC5,91,2.13,0.49,4.4,4.94,2.84
NPM3,260,0.67,0.15,4.4,4.95,2.84
DNAJC15,798,0.52,0.12,4.4,4.94,2.84
SDF2L1,215,0.53,0.12,4.4,4.92,2.83
SNRPD2,4430,0.59,0.14,4.4,4.9,2.82
BRWD3,562,-0.65,0.15,-4.4,4.9,2.82
RPS19,21227,0.57,0.13,4.3,4.86,2.79
SP1,2340,-0.34,0.08,-4.3,4.85,2.78
MCUB,2465,0.38,0.09,4.3,4.82,2.77
FOXO3,768,-0.39,0.09,-4.3,4.81,2.77
KIDINS220,1564,-0.45,0.1,-4.3,4.81,2.77
HIPK1,1903,-0.35,0.08,-4.3,4.81,2.77
SSR4,3132,0.5,0.12,4.3,4.82,2.77
IGLV1.40,362,2.29,0.53,4.3,4.83,2.77
UQCC2,340,0.77,0.18,4.3,4.8,2.76
RNF217,101,-1.67,0.39,-4.3,4.78,2.75
RPL39,43352,0.77,0.18,4.3,4.78,2.75
IGLV1.47,279,1.84,0.43,4.3,4.78,2.75
MRPL4,284,0.35,0.08,4.3,4.76,2.74
ARHGEF11,548,-0.98,0.23,-4.3,4.76,2.74
TK1,83,1.78,0.41,4.3,4.76,2.74
RPLP0,35119,0.47,0.11,4.3,4.75,2.74
HINT1,4877,0.55,0.13,4.3,4.75,2.74
IGKV1.33,297,2.05,0.48,4.3,4.73,2.72
CDKL5,87,-0.7,0.16,-4.3,4.72,2.72
WWC2,115,-0.94,0.22,-4.3,4.72,2.72
IGLV2.11,165,2.08,0.49,4.3,4.7,2.71
RPS3,66812,0.61,0.14,4.3,4.68,2.69
MICU2,1131,0.32,0.08,4.3,4.67,2.69
PPP1R10,637,-0.49,0.12,-4.3,4.67,2.69
SVIL,415,-0.7,0.16,-4.2,4.65,2.68
COLQ,71,-1.3,0.31,-4.2,4.65,2.67
FOSL2,1240,-0.77,0.18,-4.2,4.63,2.67
SPCS2,2548,0.42,0.1,4.2,4.63,2.67
SNRPB2,1568,0.37,0.09,4.2,4.63,2.67
KRTCAP2,795,0.41,0.1,4.2,4.62,2.67
NDUFB6,591,0.56,0.13,4.2,4.63,2.67
IGLV3.1,259,1.91,0.45,4.2,4.63,2.67
IGKV3.20,980,1.6,0.38,4.2,4.62,2.67
GTF2IP4.1,831,-0.57,0.13,-4.2,4.62,2.67
ERH,2366,0.39,0.09,4.2,4.61,2.67
NUFIP2,1962,-0.43,0.1,-4.2,4.57,2.63
CKS2,199,1.13,0.27,4.2,4.57,2.63
NDUFV2,1405,0.44,0.11,4.2,4.56,2.63
XPO7,1194,-0.29,0.07,-4.2,4.55,2.62
DNPH1,151,0.52,0.13,4.2,4.53,2.61
PHF3,1402,-0.4,0.1,-4.2,4.53,2.61
HAX1,1329,0.39,0.09,4.2,4.54,2.61
RPL41,49665,0.51,0.12,4.2,4.53,2.61
PRP4K,1370,-0.42,0.1,-4.2,4.52,2.61
ZNF518A,586,-0.42,0.1,-4.2,4.51,2.6
PPIAP22,327,0.44,0.11,4.2,4.51,2.6
NDUFS8,372,0.34,0.08,4.2,4.48,2.6
RPS12,40156,0.59,0.14,4.2,4.49,2.6
ARHGAP32,135,-0.78,0.19,-4.2,4.49,2.6
RPL35,18046,0.62,0.15,4.2,4.48,2.6
FAU,12695,0.5,0.12,4.1,4.48,2.6
SIK2,331,-0.4,0.1,-4.2,4.49,2.6
GADD45GIP1,403,0.58,0.14,4.2,4.49,2.6
SGTB,733,-0.37,0.09,-4.2,4.5,2.6
IGLV1.44,357,1.67,0.4,4.1,4.48,2.6
TSEN15,872,0.43,0.1,4.1,4.47,2.59
BUD23,717,0.33,0.08,4.1,4.45,2.58
SNRPB,2454,0.38,0.09,4.1,4.44,2.58
UXT,1644,0.51,0.12,4.1,4.45,2.58
DCUN1D5,418,0.47,0.11,4.1,4.44,2.58
LRR1,203,0.48,0.12,4.1,4.44,2.58
PWWP2A,505,-0.38,0.09,-4.1,4.44,2.58
HBB,5921,4.02,0.97,4.1,4.45,2.58
CMC1,824,0.9,0.22,4.1,4.42,2.57
MTMR3,1154,-0.62,0.15,-4.1,4.41,2.56
IGKV4.1,642,1.53,0.37,4.1,4.41,2.56
AGO1,1129,-0.4,0.1,-4.1,4.4,2.56
FAM168A,684,-0.39,0.09,-4.1,4.4,2.55
JARID2,715,-0.37,0.09,-4.1,4.38,2.55
C1QBP,2184,0.47,0.12,4.1,4.39,2.55
SPCS1,1857,0.35,0.09,4.1,4.38,2.55
TP53BP2,609,-0.32,0.08,-4.1,4.38,2.55
EBP,403,0.49,0.12,4.1,4.38,2.55
MAD2L1,241,0.95,0.23,4.1,4.38,2.55
NSMCE1,928,0.35,0.09,4.1,4.37,2.55
BUB1,82,1.8,0.44,4.1,4.37,2.55
RPL10A,29783,0.53,0.13,4.1,4.37,2.55
RPS29,22300,0.62,0.15,4.1,4.37,2.55
SMIM29,193,0.38,0.09,4.1,4.36,2.55
METTL5,451,0.42,0.1,4.1,4.36,2.54
RPS9,26434,0.49,0.12,4.1,4.34,2.53
SLC12A6,1380,-0.59,0.15,-4.1,4.34,2.53
MRPL54,824,0.6,0.15,4.1,4.34,2.53
IGLV6.57,64,2.07,0.51,4.1,4.33,2.53
ZFAS1,3473,0.51,0.12,4.1,4.32,2.52
PPIH,529,0.45,0.11,4.1,4.32,2.52
CNPY2,723,0.33,0.08,4.1,4.31,2.51
DTYMK,172,0.43,0.11,4.1,4.3,2.51
RPS7,35673,0.59,0.15,4.1,4.3,2.51
NABP2,327,0.43,0.11,4.1,4.29,2.51
NDUFB9,2020,0.48,0.12,4.1,4.29,2.51
RPL28,21128,0.41,0.1,4,4.29,2.5
PFDN1,890,0.32,0.08,4,4.25,2.47
ELK1,660,0.32,0.08,4,4.24,2.47
APOBEC3G,2135,0.52,0.13,4,4.24,2.46
IGKV1D.39,496,1.58,0.39,4,4.23,2.46
SELENOK,978,0.54,0.13,4,4.23,2.46
PPIL1,441,0.63,0.16,4,4.22,2.46
GLDC,57,2.49,0.62,4,4.22,2.45
LRRC42,169,0.34,0.08,4,4.21,2.45
MRPS18C,620,0.41,0.1,4,4.21,2.45
GUK1,1483,0.42,0.11,4,4.2,2.44
RABAC1,764,0.43,0.11,4,4.19,2.43
RPL36,9961,0.55,0.14,4,4.19,2.43
DDA1,568,0.3,0.07,4,4.19,2.43
RBIS,1011,0.48,0.12,4,4.19,2.43
MRPS33,691,0.56,0.14,4,4.18,2.43
NARS1,2400,-0.33,0.08,-4,4.18,2.43
IGKV3.11,555,1.39,0.35,4,4.18,2.43
SMURF1,188,-0.58,0.15,-4,4.17,2.43
CPEB4,511,-0.69,0.17,-4,4.17,2.43
NDUFAF4,303,0.53,0.13,4,4.17,2.43
VASH1,328,-0.89,0.22,-4,4.16,2.42
TMEM258,793,0.4,0.1,4,4.15,2.42
C19orf53,1198,0.39,0.1,4,4.15,2.42
GGH,104,1.1,0.28,4,4.15,2.42
TMF1,1069,-0.33,0.08,-4,4.14,2.42
NSD1,1591,-0.36,0.09,-4,4.14,2.42
LSM3,1169,0.35,0.09,4,4.14,2.42
RNASEH2C,510,0.43,0.11,4,4.14,2.42
RPS5,18628,0.66,0.17,4,4.13,2.41
TPX2,63,1.07,0.27,4,4.12,2.4
SSR2,6378,0.37,0.09,3.9,4.1,2.39
PRDX4,509,0.6,0.15,3.9,4.09,2.38
SLC35B2,358,0.32,0.08,3.9,4.09,2.38
SEC61G,845,0.47,0.12,3.9,4.08,2.37
PHB2,3378,0.32,0.08,3.9,4.08,2.37
RPS21,13297,0.69,0.18,3.9,4.07,2.37
NDUFA11,1033,0.54,0.14,3.9,4.08,2.37
MRPL51,1199,0.53,0.14,3.9,4.07,2.37
EPS8L2,80,0.71,0.18,3.9,4.06,2.36
SLC8B1,492,-0.48,0.12,-3.9,4.05,2.36
STRN4,621,-0.63,0.16,-3.9,4.06,2.36
KIAA0513,929,-0.71,0.18,-3.9,4.06,2.36
IGHA2,2068,2.68,0.68,3.9,4.06,2.36
TFPT,283,0.44,0.11,3.9,4.05,2.36
PPP1CA,4560,0.29,0.07,3.9,4.05,2.36
AIP,1406,0.26,0.07,3.9,4.04,2.36
EAF2,543,0.98,0.25,3.9,4.04,2.36
QSER1,336,-0.58,0.15,-3.9,4.04,2.36
SLC7A6,686,-0.67,0.17,-3.9,4.02,2.35
NEK4,408,-0.44,0.11,-3.9,4.02,2.35
UTRN,2052,-0.52,0.13,-3.9,4.02,2.35
PRPF40A,2040,-0.22,0.06,-3.9,4.02,2.35
