symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FOSB,576,-3.85,0.59,-6.5,10.02,6.27
LYZ,192425,-1.18,0.2,-5.8,8.05,4.48
MAFB,1327,-0.78,0.14,-5.5,7.37,3.92
IGHD,1346,2.28,0.42,5.4,7.12,3.77
SHROOM1,100,-1.78,0.33,-5.3,7.04,3.77
BCAT1,432,-1.52,0.3,-5.1,6.38,3.17
TCL1A,907,2.32,0.46,5,6.29,3.14
CD200,148,2.22,0.45,4.9,6.08,2.98
FCER2,534,2.14,0.44,4.9,5.97,2.92
SCN3A,67,2.28,0.47,4.9,5.94,2.92
PAX5,671,1.61,0.34,4.8,5.77,2.8
PCDH9,148,1.75,0.37,4.7,5.64,2.7
HLA.DOB,428,1.78,0.39,4.6,5.34,2.43
FCRLA,545,1.9,0.42,4.5,5.27,2.39
SGK1,1468,-1.4,0.31,-4.5,5.12,2.3
CD79A,1899,1.96,0.44,4.5,5.08,2.28
ATP8B4,297,-0.9,0.2,-4.4,5.03,2.27
CLN3,711,-1.37,0.31,-4.4,5.02,2.27
CFD,835,-1.29,0.3,-4.4,4.87,2.14
TLE1,177,1.22,0.28,4.3,4.78,2.07
AMZ2P1.1,156,-0.91,0.21,-4.3,4.76,2.07
RALGPS2,1301,1.36,0.32,4.3,4.69,2.02
BANK1,1191,1.53,0.36,4.2,4.59,1.93
CD22,866,1.74,0.41,4.2,4.57,1.93
FOS,7436,-2.18,0.53,-4.1,4.46,1.84
GATD3,229,-1.96,0.47,-4.1,4.43,1.82
CD72,235,1.8,0.44,4.1,4.41,1.82
CACNA2D4,259,-0.87,0.21,-4.1,4.3,1.72
MACROD2,142,2.68,0.67,4,4.25,1.69
SAMD4A,151,-1.99,0.5,-4,4.15,1.6
LCN10,105,1.92,0.49,4,4.11,1.58
PLEKHG1,146,1.84,0.47,3.9,4.07,1.57
CLEC17A,146,1.83,0.46,3.9,4.08,1.57
IGHM,7830,1.82,0.46,3.9,4.07,1.57
INKA2,217,-0.88,0.22,-3.9,4.04,1.56
CD79B,1345,1.4,0.36,3.9,4.02,1.55
RETN,295,-2.67,0.69,-3.9,4.01,1.55
CD19,242,1.9,0.49,3.9,4,1.55
VPREB3,88,1.87,0.49,3.8,3.84,1.41
F8A3,54,5.76,1.52,3.8,3.83,1.41
ITM2A,1492,1.29,0.34,3.8,3.82,1.41
DMXL2,1720,-1.85,0.49,-3.8,3.78,1.39
LILRB4,696,-0.97,0.26,-3.8,3.78,1.39
TCL6,75,1.93,0.52,3.7,3.74,1.36
ASGR2,443,-1.41,0.38,-3.7,3.72,1.35
SWAP70,1462,0.9,0.24,3.7,3.68,1.34
MS4A1,2630,1.6,0.43,3.7,3.69,1.34
SH3YL1,648,1.15,0.31,3.7,3.63,1.32
KCNK6,675,-0.99,0.27,-3.7,3.64,1.32
CD1D,1383,-1.09,0.3,-3.7,3.63,1.32
LILRA6,815,-1.05,0.28,-3.7,3.64,1.32
NAGK,2552,-0.78,0.21,-3.6,3.57,1.27
PDK4,1027,-1.27,0.35,-3.6,3.56,1.27
TLR10,446,1.3,0.36,3.6,3.55,1.26
SLC4A8,99,-1.23,0.34,-3.6,3.53,1.24
LAMC1,121,1.19,0.33,3.6,3.51,1.23
TRIB1,439,-1.1,0.31,-3.6,3.5,1.23
FRY,465,-1.26,0.35,-3.6,3.48,1.22
CXCR4,5357,1.01,0.28,3.6,3.48,1.22
C9orf72,1442,-1.45,0.41,-3.6,3.45,1.21
CEBPB,1829,-0.66,0.18,-3.6,3.46,1.21
CLEC12A,2607,-1.39,0.39,-3.6,3.43,1.19
SRGAP2C,398,-0.71,0.2,-3.6,3.42,1.19
TNFRSF13C,323,1.55,0.44,3.5,3.4,1.19
RRAS2,336,1.43,0.41,3.5,3.37,1.18
CDCA7L,532,1.22,0.34,3.5,3.39,1.18
CEBPD,1122,-0.93,0.26,-3.5,3.38,1.18
FCRL1,786,1.82,0.52,3.5,3.36,1.17
CD24,407,1.74,0.5,3.5,3.32,1.13
CARD9,237,-1.28,0.37,-3.4,3.23,1.06
MAP3K6,125,-1.77,0.52,-3.4,3.18,1.02
BACE2,102,2.04,0.6,3.4,3.18,1.02
DUSP1,4423,-1.44,0.42,-3.4,3.15,1
AHR,2143,-1.22,0.36,-3.4,3.13,0.98
CHROMR,225,-0.92,0.27,-3.4,3.12,0.98
LINC01857,48,2,0.6,3.3,3.09,0.96
MYADM.AS2,740,-1.56,0.47,-3.3,3.09,0.96
CD300E,4844,-0.96,0.29,-3.3,3.07,0.95
SLC31A2,1134,-0.84,0.25,-3.3,3.06,0.95
MERTK,111,-1.56,0.47,-3.3,3.06,0.95
